SampleID,Location,SampleDate,SedimentType,GrainSize,TOC,Gravel,Silt_Clay,Solids,PFBA,log_PFBA,PFPeA,log_PFPeA,PFBS,log_PFBS,PFHxA,log_PFHxA,PFPeS,log_PFPeS,PFHpA,log_PFHpA,PFHxS,log_PFHxS,PFOA,log_PFOA,SixTwoFTS,log_SixTwoFTS,PFHpS,log_PFHpS,PFNA,log_PFNA,PFOS,log_PFOS,SumPFAS
WG001-SED-WEST-10092020,North,9-Oct-20,Silt,0.678,6940,21.37,61.91,28.8,0.0625,-1.2041,0.0625,-1.2041,0.125,-0.9031,0.1279,-0.8932,0.0625,-1.2041,0.0625,-1.2041,0.1886,-0.7244,0.125,-0.9031,0.0986,-1.006,0.0247,-1.608,0.125,-0.9031,2.8479,0.4545,3.9127
WG002-SED-SPILL-10092020,Spill,9-Oct-20,Medium Sand,0.648,25800,9.45,10.48,74.8,0.0625,-1.2041,0.0625,-1.2041,0.125,-0.9031,0.2189,-0.6597,0.0625,-1.2041,0.0625,-1.2041,0.6168,-0.2099,0.3787,-0.4217,0.3802,-0.42,0.0838,-1.0766,0.125,-0.9031,9.4707,0.9764,11.6492
WG003-SED-EAST-10092020,South,9-Oct-20,Silt,0.199,11300,5.37,73.68,46.2,0.0625,-1.2041,0.0625,-1.2041,0.125,-0.9031,0.0625,-1.2041,0.0625,-1.2041,0.0625,-1.2041,0.1535,-0.814,0.125,-0.9031,0.0781,-1.1073,0.0463,-1.3342,0.125,-0.9031,1.2768,0.1061,2.2421
WG004-SED-HEAD-10092020,Head,9-Oct-20,Medium Sand,0.456,103000,2.32,7.97,74.6,0.0625,-1.2041,,,0.3388,-0.47,0.219,-0.6595,0.2612,-0.583,0.2183,-0.6609,2.2148,0.3453,0.4242,-0.3725,0.8311,-0.0804,0.3318,-0.4791,0.4359,-0.3606,30.1397,1.4791,35.4774
WG005-SED-WEST-10132020,North,13-Oct-20,Silt,0.678,6940,21.37,61.91,28.8,0.0625,-1.2041,0.0625,-1.2041,0.125,-0.9031,0.0625,-1.2041,0.0625,-1.2041,0.0625,-1.2041,0.1773,-0.7512,0.125,-0.9031,0.134,-0.873,0.0316,-1.5002,0.125,-0.9031,1.8802,0.2742,2.9107
WG006-SED-SPILL-10132020,Spill,13-Oct-20,Medium Sand,0.648,25800,9.45,10.48,74.8,0.0625,-1.2041,0.1418,-0.8483,0.2597,-0.5855,0.3569,-0.4475,0.2201,-0.6575,0.1377,-0.8609,1.4281,0.1548,0.4843,-0.3149,1.0017,0.0008,0.0969,-1.0139,0.125,-0.9031,10.4595,1.0195,14.7742
WG007-SED-EAST-10132020,South,13-Oct-20,Silt,0.199,11300,5.37,73.68,46.2,0.0625,-1.2041,0.0625,-1.2041,0.125,-0.9031,0.0625,-1.2041,0.0625,-1.2041,0.0625,-1.2041,0.1923,-0.716,0.125,-0.9031,0.0896,-1.0479,0.0333,-1.4776,0.125,-0.9031,1.908,0.2806,2.9107
WG008-SED-HEAD-10132020,Head,13-Oct-20,Medium Sand,0.456,103000,2.32,7.97,74.6,0.0625,-1.2041,0.1411,-0.8503,0.4491,-0.3477,0.381,-0.4191,0.2279,-0.6423,0.0625,-1.2041,2.0344,0.3084,0.399,-0.3991,2.0826,0.3186,0.1904,-0.7203,0.125,-0.9031,28.0689,1.4482,34.2244
WG009-SED-WEST-10152020,North,15-Oct-20,Silt,0.678,6940,21.37,61.91,28.8,0.0625,-1.2041,0.0625,-1.2041,0.125,-0.9031,0.1277,-0.8939,0.0625,-1.2041,0.0625,-1.2041,0.1601,-0.7957,0.125,-0.9031,0.2557,-0.5922,,,0.125,-0.9031,1.2223,0.0872,2.3908
WG011-SED-EAST-10152020,South,15-Oct-20,Silt,0.456,11300,5.37,73.68,46.2,0.0625,-1.2041,0.0625,-1.2041,,,0.0625,-1.2041,0.0625,-1.2041,0.0625,-1.2041,0.2406,-0.6187,0.125,-0.9031,0.1227,-0.9113,0.0804,-1.0949,0.125,-0.9031,3.2744,0.5151,4.2805
WG012-SED-HEAD-10152020,Head,15-Oct-20,Medium Sand,0.678,103000,2.32,7.97,74.6,0.0625,-1.2041,,,0.3665,-0.4359,0.3595,-0.4443,0.332,-0.4789,0.2194,-0.6588,3.5425,0.5493,0.4223,-0.3744,1.3705,0.1369,0.326,-0.4868,0.1308,-0.8836,50.925,1.7069,58.0569
WG013-SED-WEST-10202020,North,20-Oct-20,Silt,0.648,6940,21.37,61.91,28.8,0.0625,-1.2041,0.0625,-1.2041,0.125,-0.9031,0.0625,-1.2041,0.0625,-1.2041,0.0625,-1.2041,0.2992,-0.5241,0.125,-0.9031,0.0692,-1.1598,0.0502,-1.2991,0.125,-0.9031,5.9831,0.7769,7.0892
WG014-SED-SPILL-10202020,Spill,20-Oct-20,Medium Sand,0.199,25800,9.45,10.48,74.8,0.0625,-1.2041,0.1303,-0.885,0.125,-0.9031,0.2528,-0.5973,0.1738,-0.7601,0.1301,-0.8859,1.008,0.0035,0.3713,-0.4303,0.568,-0.2457,0.0964,-1.016,0.125,-0.9031,17.1775,1.235,20.2205
WG015-SED-EAST-10202020,South,20-Oct-20,Silt,0.456,11300,5.37,73.68,46.2,0.0625,-1.2041,0.0625,-1.2041,0.125,-0.9031,0.0625,-1.2041,0.0625,-1.2041,0.0625,-1.2041,0.2493,-0.6034,0.125,-0.9031,0.0898,-1.0469,0.0436,-1.3603,0.125,-0.9031,3.242,0.5108,4.3122
WG016-SED-HEAD-10202020,Head,20-Oct-20,Medium Sand,0.678,103000,2.32,7.97,74.6,0.0625,-1.2041,0.0625,-1.2041,0.2967,-0.5277,0.3084,-0.5108,0.29,-0.5377,0.129,-0.8895,1.6618,0.2206,0.4261,-0.3705,0.8254,-0.0833,0.3884,-0.4108,0.125,-0.9031,11.7208,1.069,16.2966
WG017-SED-WEST-10232020,North,23-Oct-20,Silt,0.648,6940,21.37,61.91,28.8,0.0625,-1.2041,0.0625,-1.2041,0.125,-0.9031,0.0625,-1.2041,0.0625,-1.2041,0.0625,-1.2041,0.1792,-0.7467,0.125,-0.9031,0.0884,-1.0536,0.0394,-1.405,0.125,-0.9031,1.2278,0.0891,2.2222
WG018-SED-SPILL-10232020,Spill,23-Oct-20,Medium Sand,0.199,25800,9.45,10.48,74.8,0.0625,-1.2041,0.1323,-0.8783,0.2793,-0.5539,0.3319,-0.4789,0.2678,-0.5722,0.1431,-0.8444,1.061,0.0257,0.4149,-0.382,0.8034,-0.0951,0.1488,-0.8274,0.125,-0.9031,13.0288,1.1149,16.7989
WG019-SED-EAST-10232020,South,23-Oct-20,Silt,0.678,11300,5.37,73.68,46.2,0.0625,-1.2041,0.0625,-1.2041,0.125,-0.9031,0.0625,-1.2041,0.0625,-1.2041,0.0625,-1.2041,0.228,-0.642,0.125,-0.9031,0.0861,-1.065,0.0375,-1.426,0.125,-0.9031,2.4598,0.3909,3.499
WG021-SED-WEST-10272020,North,27-Oct-20,Silt,0.199,6940,21.37,61.91,28.8,0.0625,-1.2041,0.0625,-1.2041,0.125,-0.9031,0.1451,-0.8384,0.0625,-1.2041,0.0625,-1.2041,0.1747,-0.7576,0.125,-0.9031,0.1746,-0.758,,,0.125,-0.9031,1.0768,0.0321,2.1962
WG022-SED-SPILL-10272020,Spill,27-Oct-20,Medium Sand,0.678,25800,9.45,10.48,74.8,0.1291,-0.8891,0.1534,-0.8141,0.125,-0.9031,0.3393,-0.4694,0.2058,-0.6866,0.1525,-0.8166,1.3074,0.1164,0.4281,-0.3684,0.8046,-0.0944,0.1859,-0.7307,0.125,-0.9031,17.0833,1.2326,21.0396
WG023-SED-EAST-10272020,South,27-Oct-20,Silt,0.648,11300,5.37,73.68,46.2,0.0625,-1.2041,0.0625,-1.2041,0.125,-0.9031,0.1286,-0.8908,0.1416,-0.8488,0.0625,-1.2041,0.2404,-0.619,0.125,-0.9031,0.1811,-0.742,0.0419,-1.3782,0.125,-0.9031,1.982,0.2971,3.2782
WG025-SED-WEST-10292020,North,29-Oct-20,Silt,0.456,6940,21.37,61.91,28.8,0.0625,-1.2041,0.0625,-1.2041,0.125,-0.9031,0.0625,-1.2041,0.0625,-1.2041,0.0625,-1.2041,0.2217,-0.6543,0.125,-0.9031,0.1559,-0.8071,0.0405,-1.3926,0.125,-0.9031,2.363,0.3735,3.4686
WG026-SED-SPILL-10292020,Spill,29-Oct-20,Medium Sand,0.678,25800,9.45,10.48,74.8,0.1282,-0.8922,0.1584,-0.8002,0.2502,-0.6016,0.3154,-0.5012,0.3226,-0.4913,0.1663,-0.7791,2.0529,0.3124,0.5062,-0.2956,1.2777,0.1064,0.2265,-0.6448,0.125,-0.9031,14.0719,1.1484,19.6013
WG027-SED-EAST-10292020,South,29-Oct-20,Silt,0.199,11300,5.37,73.68,46.2,0.0625,-1.2041,0.0625,-1.2041,0.125,-0.9031,0.1318,-0.8801,0.0625,-1.2041,0.0625,-1.2041,0.1986,-0.702,0.125,-0.9031,0.1711,-0.7668,0.0285,-1.5454,0.125,-0.9031,1.9838,0.2975,3.1388
WG028-SED-HEAD-10292020,Head,29-Oct-20,Medium Sand,0.678,103000,2.32,7.97,74.6,0.1275,-0.8945,0.1552,-0.8091,0.3264,-0.4863,0.4527,-0.3442,0.3846,-0.415,0.1482,-0.8291,2.7289,0.436,0.497,-0.3036,2.0617,0.3142,0.592,-0.2276,0.125,-0.9031,21.9005,1.3405,29.4997
WG029-SED-WEST-11032020,North,3-Nov-20,Silt,0.199,6940,21.37,61.91,28.8,0.0625,-1.2041,0.0625,-1.2041,0.125,-0.9031,0.0625,-1.2041,0.0625,-1.2041,0.0625,-1.2041,0.1807,-0.7429,0.125,-0.9031,0.1659,-0.7802,,,0.125,-0.9031,1.6272,0.2115,2.6614
WG031-SED-EAST-11032020,South,3-Nov-20,Silt,0.678,11300,5.37,73.68,46.2,0.0625,-1.2041,0.0625,-1.2041,0.125,-0.9031,0.0625,-1.2041,0.1238,-0.9075,0.0625,-1.2041,0.3342,-0.476,0.125,-0.9031,0.1475,-0.8311,0.0526,-1.279,0.125,-0.9031,2.7298,0.4361,4.0128
WG033-SED-WEST-11052020,North,5-Nov-20,Silt,0.199,6940,21.37,61.91,28.8,0.0625,-1.2041,0.0625,-1.2041,0.125,-0.9031,0.0625,-1.2041,0.0625,-1.2041,0.0625,-1.2041,0.2001,-0.6986,0.125,-0.9031,0.2267,-0.6446,0.0125,-1.9031,0.125,-0.9031,3.0945,0.4906,4.2214
WG035-SED-EAST-11052020,South,5-Nov-20,Silt,0.199,11300,5.37,73.68,46.2,0.0625,-1.2041,0.0625,-1.2041,0.125,-0.9031,0.0625,-1.2041,0.2822,-0.5494,0.0625,-1.2041,0.2597,-0.5855,0.125,-0.9031,0.1478,-0.8303,0.0827,-1.0827,0.125,-0.9031,2.6074,0.4162,4.0048
WG036-SED-HEAD-11052020,Head,5-Nov-20,Medium Sand,0.456,103000,2.32,7.97,74.6,0.0625,-1.2041,,,0.411,-0.3862,0.2743,-0.5619,0.4338,-0.3628,0.2291,-0.6399,2.71,0.433,0.411,-0.3862,1.5748,0.1972,0.3228,-0.4911,0.1333,-0.8751,30.675,1.4868,37.2375
WG037-SED-WEST-11102020,North,10-Nov-20,Silt,0.678,6940,21.37,61.91,28.8,0.0625,-1.2041,0.0625,-1.2041,0.125,-0.9031,0.1267,-0.8971,0.1779,-0.7498,0.0625,-1.2041,0.4118,-0.3853,0.125,-0.9031,0.1275,-0.8946,0.057,-1.244,0.125,-0.9031,3.469,0.5402,4.9325
WG038-SED-SPILL-11102020,Spill,10-Nov-20,Medium Sand,0.648,25800,9.45,10.48,74.8,0.1982,-0.7029,0.0625,-1.2041,0.5589,-0.2527,0.4703,-0.3276,0.4483,-0.3484,5.5127,0.7414,2.9347,0.4676,0.8301,-0.0809,4.2839,0.6318,0.4568,-0.3403,0.45,-0.3468,35.8347,1.5543,52.0412
WG039-SED-EAST-11102020,South,10-Nov-20,Silt,0.199,11300,5.37,73.68,46.2,0.0625,-1.2041,0.0625,-1.2041,0.125,-0.9031,0.1283,-0.8918,0.1765,-0.7531,0.0625,-1.2041,0.5536,-0.2568,0.2537,-0.5956,0.1582,-0.8008,0.0317,-1.4985,0.125,-0.9031,6.0419,0.7812,7.7815
WG040-SED-HEAD-11102020,Head,10-Nov-20,Medium Sand,0.456,103000,2.32,7.97,74.6,0.1394,-0.8557,,,0.6934,-0.159,0.392,-0.4067,0.7471,-0.1266,2.3481,0.3707,2.5737,0.4106,0.6641,-0.1778,8.6865,0.9388,0.6147,-0.2113,0.2452,-0.6105,32.7393,1.5151,49.8435
