Analyte,CAS
Perfluorobutanoic acid (PFBA),375-22-4
Perfluoropentanoic acid (PFPeA),2706-90-3
Perfluorohexanoic acid (PFHxA),307-24-4
Perfluoroheptanoic acid (PFHpA),375-85-9
Perfluorooctanoic acid (PFOA),335-67-1
Perfluorononanoic acid (PFNA),375-95-1
Perfluorodecanoic acid (PFDA),335-76-2
Perfluoroundecanoic acid (PFUnA),2058-94-8
Perfluorododecanoic acid (PFDoA),307-55-1
Perfluorotridecanoic acid (PFTrDA),72629-94-8
Perfluorotetradecanoic acid (PFTeDA),376-06-7
Perfluorobutanesulfonic acid (PFBS),375-73-5
Perfluoropentanesulfonic acid (PFPeS),2706-91-4
Perfluorohexanesulfonic acid (PFHxS),355-46-4
Perfluoroheptanesulfonic acid (PFHpS),375-92-8
Perfluorooctanesulfonic acid (PFOS),1763-23-1
Perfluorononanesulfonic acid (PFNS),68259-12-1
Perfluorodecanesulfonic acid (PFDS),335-77-3
Perfluorododecanesulfonic acid (PFDoS),79780-39-5
"1H,1H,2H,2H-Perfluorohexane sulfonic acid (4:2 FTS)",757124-72-4
"1H,1H,2H,2H-Perfluorooctane sulfonic acid (6:2 FTS)",27619-97-2
"1H,1H,2H,2H-Perfluorodecane sulfonic acid (8:2 FTS)",39108-34-4
Perfluorooctanesulfonamide (PFOSA),754-91-6
N-methylperfluorooctane sulfonamide (NMeFOSA),31506-32-8
N-ethylperfluorooctane sulfonamide (NEtFOSA),4151-50-2
N-methylperfluorooctanesulfonamidoacetic acid (NMeFOSAA),2355-31-9
N-ethylperfluorooctanesulfonamidoacetic acid (NEtFOSAA),2991-50-6
N-methylperfluorooctane sulfonamidoethanol (NMeFOSE),24448-09-7
N-ethylperfluorooctane sulfonamidoethanol (NEtFOSE),1691-99-2
Hexafluoropropylene Oxide Dimer Acid (HFPO-DA),13252-13-6
"4,8-Dioxa-3H-perfluorononanoic acid (DONA)",919005-14-4
Perfluoro-3-methoxypropanoic acid (PFMPA),377-73-1
Perfluoro-4-methoxybutanoic acid  (PFMBA),863090-89-5
"Nonafluoro-3,6-dioxaheptanoic acid (NFDHA)",151772-58-6
9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acid (9Cl-PF3ONS),756426-58-1
11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid (11Cl-PF3OUdS),763051-92-9
Perfluoro (2-ethoxyethane) sulfonic acid (PFEESA),113507-82-7
3-Perfluoropropylpropanoic acid (3:3 FTCA),356-02-5
3-Perfluoropentylpropanoic acid (5:3 FTCA),914637-49-3
3-Perfluoroheptylpropanoic acid (7:3 FTCA),812-70-4